"","Niveldeactividad","SonrisayRisa","Placeraltaintensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracin","Autotranquilizacion","controlInhibitorio","Placerbajaintensidad","Sensibilidadperceptual","Atencionfoc","distractibilidad"
"119",4.92,5.5,4.36,4,5.46,3.62,5.18,3.92,4.58,4.54,4.08,4.08,4.69,5.58,4.33,4.4
"120",4.77,4.77,3.46,5,5.46,1.62,3.5,3,3.83,3.38,5.77,4.54,3.92,5.92,2.78,5.4
"121",5.85,6.15,5.23,5.08,5.69,1.85,4,4.58,4.5,4.69,5.23,4.31,5.15,6.08,4,4.4
"122",4.08,4.69,4.23,4.31,5.17,4.08,4.36,3.58,4.55,3.15,4.62,4.23,4.85,4,4.44,4.2
"123",5.08,4,5.31,4,5.15,4,4,4.42,4.08,4.85,4.08,4.42,4.62,4.92,3.78,3.8
"124",4.31,4.38,3.62,3.92,5.08,3.77,5.42,4.92,4.33,3.92,4.23,4.3,4.69,5.42,5.33,5.2
"125",5.92,6.15,6.15,5.69,6.15,1.92,3.42,2.83,4.42,4.54,4.92,5.38,4.92,5.33,2.89,4
"126",3.82,5,3.67,4.38,5.38,3.08,4.27,3.36,6.36,3.69,5.23,4.62,4.85,5.42,5,5.2
"127",4.92,4.62,4.38,3.46,5.46,4.69,3.58,5,4.58,5.15,4.38,4.23,4.92,5.5,3.89,3.8
"128",3.46,4.31,5.15,4.08,3.77,5.15,5.17,4.92,4.75,4.46,4,4.08,4.31,5.5,4.78,4
"129",4.15,4.31,4.85,3.85,4.69,5.15,4.42,4.25,5.25,4.77,3.85,6,4.23,5.25,4.56,5.4
"132",4,4.36,4.42,4.08,4.33,4.5,4.36,4.64,4.44,3.83,3.56,4.31,5.15,4.64,4.86,4.4
"133",4.62,4.54,5.69,4.54,4.15,4.77,4.33,4.92,5,4.46,4.54,4.31,4.62,5.67,4.78,6.2
"134",4.82,4,5.08,4.69,3.23,4.69,4.08,4.55,3.92,4.17,4.92,4.46,4.38,5.17,4.78,5
"135",4.75,4.08,5.15,4.08,4.08,4.85,5.17,4.5,4.83,4.75,4.31,5.62,4.62,5.18,4.67,5.2
"136",3.38,4.15,6.08,3.85,5.15,3.83,5.5,3.91,4,3.69,4.5,4.23,4.08,4.36,4.25,6.4
"137",4.69,4.31,5,4.77,4.75,4.54,4.92,5,6.18,3.23,4.54,4.31,3.92,5,5.38,5.2
"138",4.31,3.77,5.38,4.62,5.62,3.54,4.83,5.25,4.75,4.62,4.92,4.15,3.54,4.91,4.67,5
"139",4.54,4.5,4.46,4.36,3.31,5,3.42,4.67,4.58,4.15,4.58,5.38,4.92,6.33,4.44,5.4
"141",4.77,5.15,5.31,4.92,5.09,5.5,4.25,4.09,5.25,4.54,4.91,4.62,4.23,6.25,5.22,5
"142",3.62,3.46,5.46,4.46,4.31,5.54,4.75,4.25,4.25,4.08,5.85,4.69,4.46,5.75,4.44,5.6
"143",7,4.08,5.31,4.38,4.23,4.62,3.83,3.33,4.58,4.85,4.23,3,3.82,4.58,4.33,5.6
"144",4.54,5.46,3.77,4.77,5.08,4.54,5.5,5.08,4.5,4.46,4.67,5.31,4.38,5.08,3.44,4
"146",5.54,3.58,6,5.62,5,5.38,5,5,5.55,3.92,3.62,4.85,5,5.33,5.11,6
"147",4.15,4.92,5.23,4.38,3.33,4.54,4.92,4,4.58,3.31,4.54,3.77,4.46,4.92,4.56,5.6
"148",5.33,4.33,5.46,3.62,4.69,4.23,4.58,4.33,4.58,4.54,4.77,4.77,4.92,4.58,5,5.4
"149",4.7,4.23,5.46,4.25,4.38,5.15,4.25,5.08,4.17,5.82,4.85,4.38,4.67,4.73,4.78,5
"151",4.55,5.38,4.69,4.25,4.77,3.69,6,3.75,4.36,3.75,5.85,4.85,5.25,5,3.33,4
"152",4.75,3.62,4.38,4.54,3.67,4.92,3.83,4.17,4.18,4.5,4.54,3.46,3.77,4.17,5.22,5.4
"153",5.23,5.69,5.31,4.69,6.42,4,5.5,4.18,4,5.54,4.08,2.83,4.85,5.27,3.5,3.4
"154",4.08,4.46,4.46,3.77,4.77,2.69,3.33,3.92,3.67,3.38,5.31,6.15,5.92,5.08,4.89,5.6
"155",4.23,4.38,4.77,4.46,4.62,4.31,4.42,4.42,4.58,4.46,4.23,4.23,4.38,5.17,4.56,4.8
"156",4.92,4.31,5.23,4.85,5,4.85,4.42,5.5,4.08,4.62,5.15,4.38,4.92,5.5,4.78,5.8
"157",3.85,4.38,5.15,3.85,4.85,4.92,4.42,4.33,5.25,4.15,4.31,4.62,4.23,5.17,4.56,4.6
"158",3.38,2.92,6.62,4.85,4.38,5.33,4.67,5.25,5.82,4.46,4,4.31,4.62,6.5,4.89,4.8
"159",5.85,5.69,6.46,6.23,5.92,1.69,4.5,2.08,4.67,5.38,4.75,2.92,5.38,4.83,3.22,4.8
"160",4.85,5.08,5.77,4.46,5.92,3.85,3.42,3.92,3.58,4.08,5.62,5.69,6.23,5,5,5.2
"163",5.92,5.54,6.5,6.33,5.42,1.31,2.75,4.75,2.55,4.23,4.36,3.54,4.69,6.42,4.22,4.6
"164",3.77,4.46,3.85,3.69,4.77,3.15,4.58,4.33,5.17,4.23,4.75,6.15,5.85,4.58,6,4.2
"165",5.08,5.77,4.69,4.62,5.38,3.62,3.91,3.17,3.08,4.08,5,5.08,4.92,4.4,5.22,5.2
"166",4.77,4.46,3.85,5.23,5.54,3.23,5.5,4,4.17,4.23,4.62,4.46,5.08,4.5,5.22,4.6
"167",4.92,5,4.92,4.69,5.83,3.62,4.25,5.08,5,5.08,3.77,4.08,4.69,4.75,3.89,4.4
"168",4.77,5.38,4.85,4.69,5.85,3.15,4.17,3.83,3.83,4.15,5.15,5.38,5.85,5.17,5.33,5.2
"169",3.46,5,3.75,3.15,4.23,5.46,3.3,3.25,3.25,3.23,5.08,5,5.62,3.92,5.44,5
"171",3.92,4.58,3.54,4.23,5.54,2.38,2.92,3.45,2.6,2,6.54,6.69,6.85,5,6.67,4.8
"172",3.46,5.23,4.25,4.15,5.77,1,3.33,2.25,1.82,1.85,6.54,5.62,6.54,5.92,5.11,5.4
"181",3.92,5,5.15,4.62,5.69,3.85,2.42,3.25,3.25,3,4.85,5.54,5.31,5.5,5.38,4.6
"182",3.62,5.23,5.54,4.31,4.31,2.54,4.17,4.25,4.58,5.15,3.54,3.54,5.92,4.5,2.75,3.4
"183",2.69,5.33,2.62,3.62,5.85,3.46,4.27,3.42,3.67,3.75,5.5,6.62,6.08,4.83,5.88,4.4
"184",3.69,5.38,4.62,4.62,5.31,3.23,5.25,5.17,4.67,4.54,4.08,5,5.92,5.5,4.38,4.2
"186",4.08,4.31,4.46,3.15,5.46,4.23,5.17,4.25,3.75,4.31,4.08,4.69,5.09,5.08,4.63,5
"187",4.46,4,5.54,4.77,5.54,3.31,3.75,3.83,4.17,5.92,4.67,3.85,5.08,6,4.13,3
"188",4.62,5.75,4.54,4.08,6.23,5.08,5.73,4.83,5.27,4.38,5.38,4.46,5.54,5.67,4.38,4.2
"189",4.69,4.69,5.31,3.77,6.46,3.85,5.5,4.92,5.33,5.15,3.23,4.54,4.62,5.5,5.13,3.6
"190",4.46,4.54,3.85,4.85,5.85,2.69,5.08,4.25,4.08,4.69,5.23,5.62,5.15,4.75,4.44,4.4
"191",3.75,4.62,4.85,4.23,5.15,4.46,4.42,4.5,4.36,4.08,4.92,5.38,5.38,5.33,4.13,4.6
"192",3.23,4.77,3.92,4.46,5.31,2.46,3.09,4.09,4.33,5.46,4.38,4.31,4.92,4.75,3.75,3.4
"193",3.92,5.23,3.92,3.62,5.77,4.31,4.92,4.42,4.67,4.85,5.15,6.15,5.69,5.08,5.25,5
"194",4.46,5.46,3.85,5.31,6,1.54,3,4.25,4.17,5,5.85,4.31,5.77,3.92,5.63,4.4
"195",3.42,6,5.08,4.38,5.85,2.31,2.83,2.17,2.75,2.46,5.38,6.31,5.09,6.33,6.5,5.6
"196",3.69,5.46,4.5,4.46,6,2.08,4.6,4.45,4,4.85,3.92,4.23,6,6,4.5,3.8
"197",3.77,4.69,5.18,4.31,4.77,3,3.42,3.73,3.82,3.23,4.69,5.85,4.83,4.92,4.63,5
"198",5,4.15,5,5.5,6.42,3.31,2.67,2.58,3.08,3.62,4.58,5.17,3.27,5.7,4.13,5.8
"199",4.08,5,4.69,4.15,5.15,4.31,3.75,5.17,2.67,4.46,4.46,5.31,5,5.5,3.63,3.8
"200",5.31,5,4.85,5.54,5.92,1.46,4.92,3.25,4.17,5.58,3.62,3.38,5.15,4.67,3.25,3.2
"201",4.77,3.92,4.15,4.62,5.23,4.08,3.75,4.83,5.17,5.85,4.46,4.15,4.38,6.08,4.88,3.6
"202",5.77,5.77,5.23,4.77,5.77,2.38,3.58,3.75,4.08,5.08,4.15,4,4.92,5,4.25,4.2
"203",4.31,5.46,4.23,4.15,6,4.23,5.33,3.42,4.17,5.38,4.08,5,4.85,5.67,4.5,3.8
"204",5.38,6,6,5.08,6.23,3.46,4.42,3.92,4,5.69,5.15,4.15,5.54,3.64,2.38,5.4
"205",4.5,4.23,5.58,4.92,5.08,3.25,3.2,4.64,3.5,5.31,4.83,5.15,5.55,4.83,5.63,4.4
"209",5.23,5.08,5.92,5.15,5.25,3,4.58,3.58,3.33,3,5.31,4.85,5.31,5.25,4.22,5
"211",3.92,4.23,3.67,3.54,4.92,3.15,4.82,3.33,3.92,3.62,5.33,6.08,5.5,4.75,5.11,5.8
"212",3.54,4.77,5.15,3.85,4.08,4.92,4.67,4.33,4.5,4.62,3.77,4.08,4.62,3.92,3.56,4.2
