"","Niveldeactividad","SonrisayRisa","Placeraltaintensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracin","Autotranquilizacion","controlInhibitorio","Placerbajaintensidad","Sensibilidadperceptual","Atencionfoc","distractibilidad"
"1",-0.871834278626011,-0.987486088242297,-0.244317582600422,-0.486646023297948,-1.1302653673943,0.245839419989982,0.121567133279902,-0.80379036494404,0.41620955991648,0.326784252817114,-0.829374463713697,-1.66343589641737,-1.74313604476493,-1.36919974579803,-0.0194600039424933,-0.0124556044554394
"3",-0.649880376483947,-0.987486088242297,-0.539706777917809,0.62829308910836,0.208085886545722,0.392988108043491,0.862231496374788,0.87095926141015,1.13847295291139,0.61226680864335,0.0531938454595043,-0.831717948208687,-1.01612076755809,-0.11249824500983,-0.152566430909151,-0.266016123726889
"5",1.26447202949136,1.51781106502157,1.03998326660561,1.37158583071257,1.32822769690857,-1.02331801447153,-0.162354205906471,-0.447741231782126,-0.306053833078427,0.61226680864335,0.167073627288305,-1.11723306475794,0.327277027280626,-0.11249824500983,-0.551885711809125,-0.266016123726889
"6",0.0437255677100046,-1.06481007445415,0.153815680653447,-0.470487485436987,-0.228333000608633,0.0159195949063738,-1.7424381805089,0.132486985222476,0.343983220616989,0.50055624332004,-1.6977078001583,-0.310342517988316,-0.478761649622605,-1.49348890521664,-1.49573128484542,-0.0124556044554394
"8",0.83443634409111,-0.276105415093299,-0.141573514663941,0.757561391996049,-0.344711370516461,-0.250787402190611,0.343766442208368,0.752276217022846,0.661779113534748,0.326784252817114,-0.388090309127096,-0.446893225903176,0.200839587766395,-0.802993575113237,-0.551885711809125,-1.28025820081269
"11",-0.649880376483947,1.74978302365711,-2.01665275450474,-0.745182629073324,0.32446425645355,-0.103638714137102,-0.890674162949776,-1.10709147837826,-0.306053833078427,-0.14488257854797,0.594122809146307,1.1793015683556,0.927854864973231,0.577997085093577,0.391959861227176,-0.519576642998339
"12",0.515377609761891,1.98175498229265,0.847338139224703,0.385915021193946,1.11001825333139,0.0159195949063738,-0.470964357196007,-0.342245192326743,0.41620955991648,-0.0579965832965069,0.594122809146307,-0.161378109353924,1.29136250357665,0.92324475014528,-0.418779284842467,-1.28025820081269
"13",0.196318875432674,0.0795849214811997,0.74459407128822,0.385915021193946,-0.126501926939283,-0.250787402190611,-0.0635989574938196,0.87095926141015,0.661779113534748,0.0413016969908795,-0.501970090955897,-0.931027553964949,0.0744021482521626,-0.222977497826375,-0.684992138775782,-0.519576642998339
"14",-0.552775544296793,-1.21945804687784,-0.334218642044844,0.256646718306258,-0.679299184001468,-0.0300643701103476,-0.779574508485543,-0.0125700690286745,1.0229108100322,-0.14488257854797,-0.829374463713697,-0.645512437415697,-0.652613128954674,-1.3830096524001,-0.152566430909151,-0.519576642998339
"15",1.31996050502688,1.27037430914365,-0.244317582600422,-0.470487485436987,0.208085886545722,-0.177213058163857,0.121567133279902,-0.671920315624812,-0.43606124381751,-1.59711992775099,-0.0891558818264955,-0.521375430220371,1.05429230448746,0.77133577752253,-0.951204992709098,-0.519576642998339
"17",1.80548466596264,0.327021677359112,-0.334218642044844,1.50085413360025,1.22639662323922,-1.38199294160196,0.183289163537809,1.20063438470822,-0.551623386696696,-1.29922508688884,0.921527181904107,-0.062068503597663,-0.162668050837024,-0.00201899219328487,-0.81809856574244,-1.53381872008414
